Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/330720/?curator_clanid=4777282&utm_source=SteamDB,Flashpoint Campaigns: Red Storm Player's Edition,"R$ 26,99",-80%,81.97%,Oct 2013,
https://store.steampowered.com/app/411880/?curator_clanid=4777282&utm_source=SteamDB,Once',"R$ 1,75",-73%,81.95%,Jan 2019,
https://store.steampowered.com/app/2811200/?curator_clanid=4777282&utm_source=SteamDB,Machick,"R$ 5,99",-40%,81.95%,Mar 2024,
https://store.steampowered.com/app/1602560/?curator_clanid=4777282&utm_source=SteamDB,The Many Pieces of Mr. Coo,"R$ 25,85",-55%,81.93%,Sep 2023,—
https://store.steampowered.com/app/1168660/?curator_clanid=4777282&utm_source=SteamDB,Barro 2020,"R$ 4,02",-8%,81.93%,Nov 2019,—
https://store.steampowered.com/app/589360/?curator_clanid=4777282&utm_source=SteamDB,Ni no Kuni™ II: Revenant Kingdom,"R$ 41,26",-84%,81.91%,Mar 2018,
https://store.steampowered.com/app/1101120/?curator_clanid=4777282&utm_source=SteamDB,Gunsmith Simulator,"R$ 70,38",-40%,81.88%,Oct 2024,—
https://store.steampowered.com/app/2616430/?curator_clanid=4777282&utm_source=SteamDB,Populous™: The Beginning,"R$ 14,50",-50%,81.87%,Mar 2024,
https://store.steampowered.com/app/2817140/?curator_clanid=4777282&utm_source=SteamDB,Charming Hearts,"R$ 24,74",-25%,81.86%,Jun 2024,
https://store.steampowered.com/app/1186220/?curator_clanid=4777282&utm_source=SteamDB,Wire Lips,"R$ 2,63",-92%,81.85%,Jan 2020,
https://store.steampowered.com/app/1534180/?curator_clanid=4777282&utm_source=SteamDB,Super Woden GP,"R$ 13,17",-51%,81.85%,Sep 2021,
https://store.steampowered.com/app/520850/?curator_clanid=4777282&utm_source=SteamDB,Lost in Secular Love,"R$ 10,99",-45%,81.83%,Oct 2016,
https://store.steampowered.com/app/388800/?curator_clanid=4777282&utm_source=SteamDB,Azure Striker Gunvolt,"R$ 11,19",-60%,81.82%,Aug 2015,
https://store.steampowered.com/app/2530430/?curator_clanid=4777282&utm_source=SteamDB,Terror At Oakheart,"R$ 18,54",-30%,81.78%,Feb 2024,
